"dialogue_id","movie_title","movie_chapter","chapter_id","place_name","place_category","character_name","gender","house","species","dialogue","dialogue_no_spells"
1056,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Molly Weasley","Female","Gryffindor","Human","Ah! Here he is!","Ah! Here he is!"
1058,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Snake","","","","Make way there. Please! Let me by, madam. Thank you. Excuse me, little girl. This is for the Daily Prophet.","Make way there. Please! Let me by, madam. Thank you. Excuse me, little girl. This is for the Daily Prophet."
1074,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Lucius Malfoy","Male","Slytherin","Human","Busy time at the Ministry, Arthur, all those extra raids? I do hope they're paying you overtime, but judging by the state of this, I'd say not. What's the use in being a disgrace to the name of wizard if they don't even pay you well for it.","Busy time at the Ministry, Arthur, all those extra raids? I do hope they're paying you overtime, but judging by the state of this, I'd say not. What's the use in being a disgrace to the name of wizard if they don't even pay you well for it."
1059,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Gilderoy Lockhart","Male","Ravenclaw","Human","It can't be- Harry Potter?","It can't be- Harry Potter?"
1071,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Arthur Weasley","Male","Gryffindor","Human","Children, it's mad in here! Let's go outside.","Children, it's mad in here! Let's go outside."
1077,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Draco Malfoy","Male","Slytherin","Human","See you at school.","See you at school."
1061,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Gilderoy Lockhart","Male","Ravenclaw","Human","Nice big smile, Harry. Together you and I rate the front page! Ladies and gentlemen, what an extraordinary moment this is. When young Harry stepped into Flourish and Blotts this morning to purchase my autobiography, Magical Me, which, incidentally is currently celebrating its 27th week atop the Daily Prophet bestseller list, he had no idea that he would, in fact, be leaving with my entire collected works, free of charge. Now, ladies?","Nice big smile, Harry. Together you and I rate the front page! Ladies and gentlemen, what an extraordinary moment this is. When young Harry stepped into Flourish and Blotts this morning to purchase my autobiography, Magical Me, which, incidentally is currently celebrating its 27th week atop the Daily Prophet bestseller list, he had no idea that he would, in fact, be leaving with my entire collected works, free of charge. Now, ladies?"
1053,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Other","","","","Harry Harry Potter","Harry Harry Potter"
1046,"Harry Potter and the Chamber of Secrets",5,39,"Flourish & Blotts","Diagon Alley","Harry Potter","Male","Gryffindor","Human","Well, it's great to see you, too!","Well, it's great to see you, too!"
1060,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Snake","","","","Harry Potter! Excuse me, madam.","Harry Potter! Excuse me, madam."
1070,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Lucius Malfoy","Male","Slytherin","Human","And you must be Miss Granger. Yes, Draco's told me all about you, and your parents. Muggles, aren't they? Let me seered hair vacant expressions tatty second hand book. You must be the Weasleys.","And you must be Miss Granger. Yes, Draco's told me all about you, and your parents. Muggles, aren't they? Let me seered hair vacant expressions tatty second hand book. You must be the Weasleys."
1072,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Lucius Malfoy","Male","Slytherin","Human","Well, well, well. Weasley senior.","Well, well, well. Weasley senior."
1062,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Molly Weasley","Female","Gryffindor","Human","Harry, now you give me those, and I'll get them signed. All of you wait outside. That's it, Ron.","Harry, now you give me those, and I'll get them signed. All of you wait outside. That's it, Ron."
1057,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","Mum fancies him.","Mum fancies him."
