"dialogue_id","movie_title","movie_chapter","chapter_id","place_name","place_category","character_name","gender","house","species","dialogue","dialogue_no_spells","dialogue_cleaned"
1056,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Molly Weasley","Female","Gryffindor","Human","Ah! Here he is!","Ah! Here he is!","ah"
1058,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Snake","","","","Make way there. Please! Let me by, madam. Thank you. Excuse me, little girl. This is for the Daily Prophet.","Make way there. Please! Let me by, madam. Thank you. Excuse me, little girl. This is for the Daily Prophet.","make way  please let   madam thank  excuse  little girl     daily prophet"
1074,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Lucius Malfoy","Male","Slytherin","Human","Busy time at the Ministry, Arthur, all those extra raids? I do hope they're paying you overtime, but judging by the state of this, I'd say not. What's the use in being a disgrace to the name of wizard if they don't even pay you well for it.","Busy time at the Ministry, Arthur, all those extra raids? I do hope they're paying you overtime, but judging by the state of this, I'd say not. What's the use in being a disgrace to the name of wizard if they don't even pay you well for it.","busy time   ministry arthur   extra raids   hope theyre paying  overtime  judging   state   id say  whats  use    disgrace   name  wizard   dont even pay  well"
1059,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Gilderoy Lockhart","Male","Ravenclaw","Human","It can't be- Harry Potter?","It can't be- Harry Potter?","cant  harry pott"
1071,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Arthur Weasley","Male","Gryffindor","Human","Children, it's mad in here! Let's go outside.","Children, it's mad in here! Let's go outside.","children  mad   lets go outsid"
1077,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Draco Malfoy","Male","Slytherin","Human","See you at school.","See you at school.","see   school"
1061,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Gilderoy Lockhart","Male","Ravenclaw","Human","Nice big smile, Harry. Together you and I rate the front page! Ladies and gentlemen, what an extraordinary moment this is. When young Harry stepped into Flourish and Blotts this morning to purchase my autobiography, Magical Me, which, incidentally is currently celebrating its 27th week atop the Daily Prophet bestseller list, he had no idea that he would, in fact, be leaving with my entire collected works, free of charge. Now, ladies?","Nice big smile, Harry. Together you and I rate the front page! Ladies and gentlemen, what an extraordinary moment this is. When young Harry stepped into Flourish and Blotts this morning to purchase my autobiography, Magical Me, which, incidentally is currently celebrating its 27th week atop the Daily Prophet bestseller list, he had no idea that he would, in fact, be leaving with my entire collected works, free of charge. Now, ladies?","nice big smile harry together    rate  front page ladies  gentlemen   extraordinary moment    young harry stepped  flourish  blotts  morning  purchase  autobiography magical   incidentally  currently celebrating  th week atop  daily prophet bestseller list    idea     fact  leaving   entire collected works free  charge now ladi"
1053,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Other","","","","Harry Harry Potter","Harry Harry Potter","harry harry pott"
1046,"Harry Potter and the Chamber of Secrets",5,39,"Flourish & Blotts","Diagon Alley","Harry Potter","Male","Gryffindor","Human","Well, it's great to see you, too!","Well, it's great to see you, too!","well  great  see"
1060,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Snake","","","","Harry Potter! Excuse me, madam.","Harry Potter! Excuse me, madam.","harry potter excuse  madam"
1070,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Lucius Malfoy","Male","Slytherin","Human","And you must be Miss Granger. Yes, Draco's told me all about you, and your parents. Muggles, aren't they? Let me seered hair vacant expressions tatty second hand book. You must be the Weasleys.","And you must be Miss Granger. Yes, Draco's told me all about you, and your parents. Muggles, aren't they? Let me seered hair vacant expressions tatty second hand book. You must be the Weasleys.","must  miss granger yes dracos told       parents muggles arent  let  seered hair vacant expressions tatty second hand book  must   weaslei"
1072,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Lucius Malfoy","Male","Slytherin","Human","Well, well, well. Weasley senior.","Well, well, well. Weasley senior.","well well well weasley senior"
1062,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Molly Weasley","Female","Gryffindor","Human","Harry, now you give me those, and I'll get them signed. All of you wait outside. That's it, Ron.","Harry, now you give me those, and I'll get them signed. All of you wait outside. That's it, Ron.","harry now  give    ill get  signed    wait outside thats  ron"
1057,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","Mum fancies him.","Mum fancies him.","mum fancies"
